SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
NILKAMAL,EQ,1772.3,1838.3,1761.9,1808,1820,1784.8,24846,44937428.30,29-Jul-2025,1976,INE310A01015
NINSYS,EQ,434.25,434.25,425,430.2,433.8,429.25,1670,718787.75,29-Jul-2025,189,INE395U01014
BANKBEES,EQ,577.02,579.99,575.9,579.52,579.7,577.89,237287,137088527.14,29-Jul-2025,6198,INF204KB15I9
CONSUMBEES,EQ,128.57,129.48,128.18,129.36,129.47,128.58,57778,7443731.52,29-Jul-2025,738,INF204KA1LD7
DIVOPPBEES,EQ,78.39,78.77,75.87,76.72,77.28,76.48,68873,5270090.09,29-Jul-2025,1049,INF204KA1MS3
NV20BEES,EQ,146.61,146.8,145.42,146.43,146,146.63,10265,1500507.31,29-Jul-2025,323,INF204KB18I3
GOLDBEES,EQ,84.49,84.49,81.24,81.91,81.87,82.03,11346333,927758989.99,29-Jul-2025,35230,INF204KB17I5
HNGSNGBEES,EQ,439.79,440,430,438.48,440,441,224093,97645923.41,29-Jul-2025,5540,INF204KB19I1
INFRABEES,EQ,930.44,943.03,928.83,939.3,935.09,930.44,8368,7826053.38,29-Jul-2025,328,INF732E01268
ITBEES,EQ,39.16,39.16,38.32,38.66,38.75,38.64,10801392,416294768.11,29-Jul-2025,22879,INF204KB15V2
JUNIORBEES,EQ,732.35,732.35,710,722.97,723.8,716.45,248719,178705712.01,29-Jul-2025,7351,INF732E01045
LIQUIDBEES,EQ,1000,1000.01,999.99,999.99,999.99,999.99,5296033,5295996641.47,29-Jul-2025,5655,INF732E01037
LTGILTBEES,EQ,28.95,28.95,28.86,28.86,28.88,28.89,2345719,67737494.86,29-Jul-2025,1179,INF204KB1882
MID150BEES,EQ,221.99,221.99,218.11,221.65,221.6,219.71,388375,85612283.97,29-Jul-2025,4382,INF204KB1V68
NIF100BEES,EQ,267,268.71,264.11,267,267.59,267.12,20956,5601981.41,29-Jul-2025,596,INF204K014N5
NIFTYBEES,EQ,286.84,286.84,277.41,280.09,280,278.49,3694965,1030824509.13,29-Jul-2025,37748,INF204KB14I2
PSUBNKBEES,EQ,79.22,79.22,75.35,77.66,77.95,77.29,1517020,117166043.33,29-Jul-2025,3496,INF204KB16I7
SHARIABEES,EQ,492.76,506.21,488.6,494.92,495,491.61,7404,3651819.98,29-Jul-2025,498,INF732E01128
NAM-INDIA,EQ,799.75,812,785.1,807.5,810.25,793.35,840299,672424908.15,29-Jul-2025,32256,INE298J01013
